skill	Id	charclass	skilldesc	*comments	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Ice Bolt	39	sor	ice bolt			8												icebolt																																																												sorceress_cast_cold											ice_cast_1			19	17					icebolt	icebolt	bonecast										1	1		none												SC	SC	SC																	1						sorceress_cast_cold		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	12	1	1										(stat('item_sorc_bolt'.accr) < 1)?(1+(blvl/15)):(1+(blvl/5))	# missiles	par3	activation frame					0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy	1								8															cold	5	5	10	15	20	20	10	5	10	15	20	20	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Frozen Armor	40	sor	frozen armor			18																	frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	passive_ltng_pierce	blvl	item_absorblight_percent	skill('Aerial Shield'.blvl)/2							damagedinmelee	2																																						sorceress_cast_lightning				sorceress_frozenarmor							light_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40								1											1	7	22	1	1	1									ln56	freeze length							20	% AC base	7	% AC per level	3000	Duration	300	Duration per level	50	Freeze Frames	3	Freeze Frames per level	250	duration synergy	10	ac synergy	1								8																																					100
Inferno	41	sor	inferno		11	19												infernoflame1	infernoflame1	infernoflame1						ln12/4-2																																																																		15	24					infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																							((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Lightning								1	1				6	0	2	36	1	1										ln12/2	range	20	frames if monster					20	base ranged (doubled)	3	level range (doubled)	5	Min Mana to start casting									6	damage synergy	1								2		35	35	70	105	140	140	70	35	70	105	140	140	(100+(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr)+stat('passive_ltng_mastery'.accr))/100-100	ltng	35	35	70	105	140	140	70	35	70	105	140	140	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*par8									100
Static Field	42	sor	static field			20																34691				ln12																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	SC					4												1						sorceress_cast_lightning		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Telekinesis														1	8	9	0	1										par4	damage %	par3	min damage					5	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	15	Percent Damage.							1	min dmg synergy	1								8															ltng																						100
Telekinesis	43	sor	telekinesis		12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1			1						sorceress_telekinesis		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Teleport								1						1	6	28	-1	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.											6	damage synergy	1				5	2	109		8															ltng	10	10	20	30	40	40	20	10	20	30	40	40	(skill('STwister'.blvl)+skill('Static Field'.blvl)+skill('Energy Shield'.blvl))*par8									100
Frost Nova	44	sor	frost nova			22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Glacial Spike														1	8	12	1	1																		9	radius of freeze	3	additional radius/level									5	freeze synergy	3	damage synergy	1								8															cold	4	4	5	6	8	8	8	4	5	6	8	8	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Ice Blast	45	sor	ice blast			10												iceblast	iceblast																																																											sorceress_cast_cold											ice_cast_2				18					iceblast												1	7		none												SC	SC	SC																	1			4			sorceress_cast_cold		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Glacial Spike								1						1	8	16	1	1										0	dmg%							75	Duration of freeze	5	additional duration/level									3	freeze synergy	6	damage synergy	1								8															cold	15	15	20	25	30	30	30	15	20	25	30	30	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	75	5	5	5	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Blaze	46	sor	blaze			23												blaze	blaze	blaze			blaze		dm12																																																					sorceress_cast_fire											fire_cast_2								blaze	sfirewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40																			1	7	22	1	1																		50	Min Frames	500	Max Frames											7	damage synergy	1								3															fire	6	6	12	18	24	24	12	6	12	18	24	24	(skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Nova'.blvl))*par8									100
Fire Ball	47	sor	fire ball												fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	SC																	1						sorceress_cast_fire		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Fire Bolt								1						1	7	10	1	1																																9	damage synergy	1								8															fire	12	12	16	20	24	24	24	12	16	20	24	24	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*par8									100
Nova	48	sor	nova			22												nova	nova	nova																																																										sorceress_cast_lightning											fire_cast_2				25					nova												1	2		none												SC	SC	SC																	36	10					sorceress_cast_fire		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30																			1	8	15	1	1																		12	number of missiles	4	additional missiles per level											3	damage synergy	1								8															fire	5	5	6	7	8	8	10	5	6	7	8	8	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8									100
Lightning	49	sor	lightning												lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SC	SC	SC																	1						sorceress_cast_lightning		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									7	damage synergy	1								8															ltng	1	0	0	0	0	0	45	15	30	45	60	60	(skill('Charged Bolt'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8									100
Shiver Armor	50	sor	shiver armor			18																	shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	passive_fire_pierce	blvl	item_absorbfire_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																						sorceress_cast_fire				sorceress_shiverarmor							fire_cast_2	shiverarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40								1											1	7	22	1	1	1																	20	% AC base	7	% AC per level	3000	Duration	300	Duration per level					250	duration synergy	10	ac synergy	1								8															fire	3	3	6	9	12	12	6	3	6	9	12	12										100
Fire Wall	51	sor	fire wall			139												fire wave maker	fire wave maker																																																											sorceress_cast_fire											fire_cast_2				81					fire wave maker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					SEruption							10	1						1	6	72	3	1																																7	damage synergy	1								8															fire	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Nova'.blvl))*par8									100
Enchant	52	sor	enchant			68												enchantcast					enchant	enchant	ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																														sorceress_enchant															25					enchantcast												1	9		none												SC	SC	A1				1													1						sorceress_enchant		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40								1											1	8	50	2	1	1																	3600	duration	500	duration per level											5	damage synergy	1	20	9						8															fire	8	2	4	7	11	11	10	2	4	7	11	11	(skill('Thunder Storm'.blvl)+skill('Fanatic Swing'.blvl))*par8									100
Chain Lightning	53	sor	chain lightning			26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC																	151	96					sorceress_cast_lightning		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30					Hydra								1						1	8	9	1	1										ln34 / par5	# hits							20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy	1								8															ltng	1	0	0	0	0	0	40	24	32	40	48	48	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl))*par8									100
Teleport	54	sor	teleport			27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40								1											1	5	80	-1	1	1																																	1								8																																					100
Glacial Spike	55	sor	glacial spike												glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Ice Bolt								1						1	7	20	1	1																		5	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	6	damage synergy	1								8															cold	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8									100
Meteor	56	sor	meteor			28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Fire Ball							25							1	8	17	1	1				Blessed Bones						ln12	radius							6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							6	damage synergy	1								8		13	13	26	39	52	52	26	13	26	39	52	52	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl))*par8	fire	13	13	26	39	52	52	26	13	26	39	52	52	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl))*par8									100
Thunder Storm	57	sor	thunder storm		13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast											fire_cast_2					84				thunderstorm1												1	5		none												SC	SC	SC																	1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30					Meteor														1	8	19	1	1	1		1	(stat('item_sorc_shower'.accr) < 1) ? ((100-dm56)*par4/100+par3) : (((100-dm56)*par4/100+par3)-(stat('dexterity'.accr)/20))														800	duration	200	additional duration/level	12	minimum repeat time	60	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius	5	damage synergy	1								8		9	9	12	15	18	18	18	9	12	15	18	18	(skill('Enchant'.blvl)+skill('Fanatic Swing'.blvl))*par8	fire	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Enchant'.blvl)+skill('Fanatic Swing'.blvl))*par8									100
Energy Shield	58	sor	energy shield			23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																	1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Charged Bolt	Telekinesis		1											1	8	5	0	1	1									"min(edmn,95)"	damage absorption	"max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('STwister'.blvl)+skill('Static Field'.blvl))*par8)*4/25"	ratio					3600	duration	1500	additional duration/level					225	mana consumption %			4	self mana consumption synergy	3	mana consumption synergy	1								8																25	3	2	1	1	0																100
Blizzard	59	sor	blizzard			28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Glacial Spike	STwister						15							1	8	23	1	1										par1	radius	par3	frequency					7	radius			3	Missile delay	0	Change duration in Missiles.xls					5	freeze synergy	5	damage synergy	1								8															cold	18	18	24	30	36	36	36	18	24	30	36	36	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	100				(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Chilling Armor	60	sor	chilling armor			18																	chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	passive_cold_pierce	blvl	item_absorbcold_percent	skill('Aerial Shield'.blvl)/2							attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	chillarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40								1											1	7	22	1	1	1																	20	% AC base	7	% AC per level	3000	Duration	300	Duration per level					250	duration synergy	10	ac synergy	1								7															cold	5	5	10	15	20	20	10	5	10	15	20	20		100	25	25	25					100
Fire Mastery	61	sor	fire mastery																																												firemastery		passive_fire_mastery	(blvl<1)?(ln12):(ln12+56)																																																												1	3		none												SC	SC	xx																									((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30													1						0	8	0	0	1						1												4	% Damage bonus	4	% Damage bonus per level													1								8																																					100
Hydra	62	sor	hydra		14	144																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)									hydra4	hydra	99	S2	HydraMissile	lvl											1	sorceress_cast_fire											light_cast_1			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Inferno							15							1	7	40	1	1																		250	duration	5	additional duration/level									5	duration synergy	6	damage synergy	1								7															ltng	15	15	20	25	30	30	30	15	20	25	30	30	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Chain Lightning'.blvl))*par8									100
